sample	old_sample_number	transfer_volume	replicate	prey_history	predator_history	time_days
HAMBI0716	716	1800uL	C	EVO	ANC	36
HAMBI0416	416	1800uL	C	EVO	ANC	40
HAMBI0428	428	1800uL	C	EVO	ANC	44
HAMBI0440	440	1800uL	C	EVO	ANC	48
HAMBI0536	536	1800uL	C	EVO	ANC	52
HAMBI0548	548	1800uL	C	EVO	ANC	56
HAMBI0608	608	1800uL	C	EVO	ANC	60
HAMBI0663	663	1800uL	E	EVO	ANC	0
HAMBI0201	201	1800uL	E	EVO	ANC	4
HAMBI0213	213	1800uL	E	EVO	ANC	8
HAMBI0225	225	1800uL	E	EVO	ANC	12
HAMBI0237	237	1800uL	E	EVO	ANC	16
HAMBI0249	249	1800uL	E	EVO	ANC	20
HAMBI0261	261	1800uL	E	EVO	ANC	24
HAMBI0273	273	1800uL	E	EVO	ANC	28
HAMBI0393	393	1800uL	E	EVO	ANC	32
HAMBI0405	405	1800uL	E	EVO	ANC	36
HAMBI0417	417	1800uL	E	EVO	ANC	40
HAMBI0429	429	1800uL	E	EVO	ANC	44
HAMBI0441	441	1800uL	E	EVO	ANC	48
HAMBI0537	537	1800uL	E	EVO	ANC	52
HAMBI0549	549	1800uL	E	EVO	ANC	56
HAMBI0609	609	1800uL	E	EVO	ANC	60
HAMBI0661	661	1800uL	A	EVO	EVO	0
HAMBI0202	202	1800uL	A	EVO	EVO	4
HAMBI0214	214	1800uL	A	EVO	EVO	8
HAMBI0226	226	1800uL	A	EVO	EVO	12
HAMBI0238	238	1800uL	A	EVO	EVO	16
HAMBI0250	250	1800uL	A	EVO	EVO	20
HAMBI0262	262	1800uL	A	EVO	EVO	24
HAMBI0274	274	1800uL	A	EVO	EVO	28
HAMBI0394	394	1800uL	A	EVO	EVO	32
HAMBI0680	680	1800uL	A	EVO	EVO	36
HAMBI0418	418	1800uL	A	EVO	EVO	40
HAMBI0430	430	1800uL	A	EVO	EVO	44
HAMBI0442	442	1800uL	A	EVO	EVO	48
HAMBI0538	538	1800uL	A	EVO	EVO	52
HAMBI0550	550	1800uL	A	EVO	EVO	56
HAMBI0610	610	1800uL	A	EVO	EVO	60
HAMBI0662	662	1800uL	C	EVO	EVO	0
HAMBI0203	203	1800uL	C	EVO	EVO	4
HAMBI0215	215	1800uL	C	EVO	EVO	8
HAMBI0227	227	1800uL	C	EVO	EVO	12
HAMBI0239	239	1800uL	C	EVO	EVO	16
HAMBI0251	251	1800uL	C	EVO	EVO	20
HAMBI0263	263	1800uL	C	EVO	EVO	24
HAMBI0275	275	1800uL	C	EVO	EVO	28
HAMBI0395	395	1800uL	C	EVO	EVO	32
HAMBI0714	714	1800uL	C	EVO	EVO	36
HAMBI0419	419	1800uL	C	EVO	EVO	40
HAMBI0431	431	1800uL	C	EVO	EVO	44
HAMBI0443	443	1800uL	C	EVO	EVO	48
HAMBI0539	539	1800uL	C	EVO	EVO	52
HAMBI0551	551	1800uL	C	EVO	EVO	56
HAMBI0611	611	1800uL	C	EVO	EVO	60
HAMBI0663	663	1800uL	E	EVO	EVO	0
HAMBI0204	204	1800uL	E	EVO	EVO	4
HAMBI0216	216	1800uL	E	EVO	EVO	8
HAMBI0228	228	1800uL	E	EVO	EVO	12
HAMBI0240	240	1800uL	E	EVO	EVO	16
HAMBI0252	252	1800uL	E	EVO	EVO	20
HAMBI0264	264	1800uL	E	EVO	EVO	24
HAMBI0276	276	1800uL	E	EVO	EVO	28
HAMBI0396	396	1800uL	E	EVO	EVO	32
HAMBI0727	727	1800uL	E	EVO	EVO	36
HAMBI0420	420	1800uL	E	EVO	EVO	40
HAMBI0432	432	1800uL	E	EVO	EVO	44
HAMBI0444	444	1800uL	E	EVO	EVO	48
HAMBI0540	540	1800uL	E	EVO	EVO	52
HAMBI0552	552	1800uL	E	EVO	EVO	56
HAMBI0612	612	1800uL	E	EVO	EVO	60
HAMBI0661	661	1800uL	A	EVO	no_predator	0
HAMBI0280	280	1800uL	A	EVO	no_predator	12
HAMBI0286	286	1800uL	A	EVO	no_predator	28
HAMBI0556	556	1800uL	A	EVO	no_predator	44
HAMBI0646	646	1800uL	A	EVO	no_predator	60
HAMBI0662	662	1800uL	C	EVO	no_predator	0
HAMBI0281	281	1800uL	C	EVO	no_predator	12
HAMBI0287	287	1800uL	C	EVO	no_predator	28
HAMBI0557	557	1800uL	C	EVO	no_predator	44
HAMBI0647	647	1800uL	C	EVO	no_predator	60
HAMBI0663	663	1800uL	E	EVO	no_predator	0
HAMBI0282	282	1800uL	E	EVO	no_predator	12
HAMBI0288	288	1800uL	E	EVO	no_predator	28
HAMBI0558	558	1800uL	E	EVO	no_predator	44
HAMBI0648	648	1800uL	E	EVO	no_predator	60
HAMBI0559	559	180uL	A	ANC	ANC	0
HAMBI0757	757	180uL	A	ANC	ANC	4
HAMBI0698	698	180uL	A	ANC	ANC	8
HAMBI0710	710	180uL	A	ANC	ANC	12
HAMBI0686	686	180uL	A	ANC	ANC	16
HAMBI0733	733	180uL	A	ANC	ANC	20
HAMBI0685	685	180uL	A	ANC	ANC	24
HAMBI0722	722	180uL	A	ANC	ANC	28
HAMBI0699	699	180uL	A	ANC	ANC	32
HAMBI0711	711	180uL	A	ANC	ANC	36
HAMBI0759	759	180uL	A	ANC	ANC	40
HAMBI0675	675	180uL	A	ANC	ANC	44
HAMBI0739	739	180uL	A	ANC	ANC	48
HAMBI0681	681	180uL	A	ANC	ANC	52
HAMBI0517	517	180uL	A	ANC	ANC	56
HAMBI0589	589	180uL	A	ANC	ANC	60
HAMBI0559	559	180uL	C	ANC	ANC	0
HAMBI0098	98	180uL	C	ANC	ANC	4
HAMBI0110	110	180uL	C	ANC	ANC	8
HAMBI0122	122	180uL	C	ANC	ANC	12
HAMBI0134	134	180uL	C	ANC	ANC	16
HAMBI0146	146	180uL	C	ANC	ANC	20
HAMBI0158	158	180uL	C	ANC	ANC	24
HAMBI0170	170	180uL	C	ANC	ANC	28
HAMBI0747	747	180uL	C	ANC	ANC	32
HAMBI0700	700	180uL	C	ANC	ANC	36
HAMBI0676	676	180uL	C	ANC	ANC	40
HAMBI0735	735	180uL	C	ANC	ANC	44
HAMBI0458	458	180uL	C	ANC	ANC	48
HAMBI0506	506	180uL	C	ANC	ANC	52
HAMBI0518	518	180uL	C	ANC	ANC	56
HAMBI0590	590	180uL	C	ANC	ANC	60
HAMBI0559	559	180uL	E	ANC	ANC	0
HAMBI0099	99	180uL	E	ANC	ANC	4
HAMBI0111	111	180uL	E	ANC	ANC	8
HAMBI0123	123	180uL	E	ANC	ANC	12
HAMBI0135	135	180uL	E	ANC	ANC	16
HAMBI0147	147	180uL	E	ANC	ANC	20
HAMBI0159	159	180uL	E	ANC	ANC	24
HAMBI0171	171	180uL	E	ANC	ANC	28
HAMBI0339	339	180uL	E	ANC	ANC	32
HAMBI0351	351	180uL	E	ANC	ANC	36
HAMBI0748	748	180uL	E	ANC	ANC	40
HAMBI0688	688	180uL	E	ANC	ANC	44
HAMBI0459	459	180uL	E	ANC	ANC	48
HAMBI0507	507	180uL	E	ANC	ANC	52
HAMBI0519	519	180uL	E	ANC	ANC	56
HAMBI0591	591	180uL	E	ANC	ANC	60
HAMBI0559	559	180uL	A	ANC	EVO	0
HAMBI0100	100	180uL	A	ANC	EVO	4
HAMBI0112	112	180uL	A	ANC	EVO	8
HAMBI0124	124	180uL	A	ANC	EVO	12
HAMBI0136	136	180uL	A	ANC	EVO	16
HAMBI0148	148	180uL	A	ANC	EVO	20
HAMBI0160	160	180uL	A	ANC	EVO	24
HAMBI0172	172	180uL	A	ANC	EVO	28
HAMBI0340	340	180uL	A	ANC	EVO	32
HAMBI0352	352	180uL	A	ANC	EVO	36
HAMBI0364	364	180uL	A	ANC	EVO	40
HAMBI0376	376	180uL	A	ANC	EVO	44
HAMBI0460	460	180uL	A	ANC	EVO	48
HAMBI0508	508	180uL	A	ANC	EVO	52
HAMBI0520	520	180uL	A	ANC	EVO	56
HAMBI0592	592	180uL	A	ANC	EVO	60
HAMBI0559	559	180uL	C	ANC	EVO	0
HAMBI0101	101	180uL	C	ANC	EVO	4
HAMBI0113	113	180uL	C	ANC	EVO	8
HAMBI0125	125	180uL	C	ANC	EVO	12
HAMBI0137	137	180uL	C	ANC	EVO	16
HAMBI0149	149	180uL	C	ANC	EVO	20
HAMBI0161	161	180uL	C	ANC	EVO	24
HAMBI0173	173	180uL	C	ANC	EVO	28
HAMBI0341	341	180uL	C	ANC	EVO	32
HAMBI0353	353	180uL	C	ANC	EVO	36
HAMBI0365	365	180uL	C	ANC	EVO	40
HAMBI0377	377	180uL	C	ANC	EVO	44
HAMBI0461	461	180uL	C	ANC	EVO	48
HAMBI0509	509	180uL	C	ANC	EVO	52
HAMBI0521	521	180uL	C	ANC	EVO	56
HAMBI0593	593	180uL	C	ANC	EVO	60
HAMBI0559	559	180uL	E	ANC	EVO	0
HAMBI0745	745	180uL	E	ANC	EVO	4
HAMBI0674	674	180uL	E	ANC	EVO	8
HAMBI0126	126	180uL	E	ANC	EVO	12
HAMBI0138	138	180uL	E	ANC	EVO	16
HAMBI0150	150	180uL	E	ANC	EVO	20
HAMBI0162	162	180uL	E	ANC	EVO	24
HAMBI0174	174	180uL	E	ANC	EVO	28
HAMBI0342	342	180uL	E	ANC	EVO	32
HAMBI0354	354	180uL	E	ANC	EVO	36
HAMBI0366	366	180uL	E	ANC	EVO	40
HAMBI0378	378	180uL	E	ANC	EVO	44
HAMBI0463	463	180uL	E	ANC	EVO	48
HAMBI0510	510	180uL	E	ANC	EVO	52
HAMBI0522	522	180uL	E	ANC	EVO	56
HAMBI0594	594	180uL	E	ANC	EVO	60
HAMBI0559	559	180uL	A	ANC	no_predator	0
HAMBI0734	734	180uL	A	ANC	no_predator	12
HAMBI0187	187	180uL	A	ANC	no_predator	28
HAMBI0475	475	180uL	A	ANC	no_predator	44
HAMBI0631	631	180uL	A	ANC	no_predator	60
HAMBI0559	559	180uL	C	ANC	no_predator	0
HAMBI0182	182	180uL	C	ANC	no_predator	12
HAMBI0188	188	180uL	C	ANC	no_predator	28
HAMBI0476	476	180uL	C	ANC	no_predator	44
HAMBI0632	632	180uL	C	ANC	no_predator	60
HAMBI0559	559	180uL	E	ANC	no_predator	0
HAMBI0183	183	180uL	E	ANC	no_predator	12
HAMBI0189	189	180uL	E	ANC	no_predator	28
HAMBI0477	477	180uL	E	ANC	no_predator	44
HAMBI0633	633	180uL	E	ANC	no_predator	60
HAMBI0661	661	180uL	A	EVO	ANC	0
HAMBI0103	103	180uL	A	EVO	ANC	4
HAMBI0115	115	180uL	A	EVO	ANC	8
HAMBI0127	127	180uL	A	EVO	ANC	12
HAMBI0139	139	180uL	A	EVO	ANC	16
HAMBI0151	151	180uL	A	EVO	ANC	20
HAMBI0163	163	180uL	A	EVO	ANC	24
HAMBI0175	175	180uL	A	EVO	ANC	28
HAMBI0343	343	180uL	A	EVO	ANC	32
HAMBI0355	355	180uL	A	EVO	ANC	36
HAMBI0367	367	180uL	A	EVO	ANC	40
HAMBI0379	379	180uL	A	EVO	ANC	44
HAMBI0462	462	180uL	A	EVO	ANC	48
HAMBI0511	511	180uL	A	EVO	ANC	52
HAMBI0523	523	180uL	A	EVO	ANC	56
HAMBI0595	595	180uL	A	EVO	ANC	60
HAMBI0662	662	180uL	C	EVO	ANC	0
HAMBI0104	104	180uL	C	EVO	ANC	4
HAMBI0116	116	180uL	C	EVO	ANC	8
HAMBI0128	128	180uL	C	EVO	ANC	12
HAMBI0140	140	180uL	C	EVO	ANC	16
HAMBI0152	152	180uL	C	EVO	ANC	20
HAMBI0164	164	180uL	C	EVO	ANC	24
HAMBI0176	176	180uL	C	EVO	ANC	28
HAMBI0344	344	180uL	C	EVO	ANC	32
HAMBI0356	356	180uL	C	EVO	ANC	36
HAMBI0368	368	180uL	C	EVO	ANC	40
HAMBI0380	380	180uL	C	EVO	ANC	44
HAMBI0464	464	180uL	C	EVO	ANC	48
HAMBI0512	512	180uL	C	EVO	ANC	52
HAMBI0524	524	180uL	C	EVO	ANC	56
HAMBI0596	596	180uL	C	EVO	ANC	60
HAMBI0663	663	180uL	E	EVO	ANC	0
HAMBI0105	105	180uL	E	EVO	ANC	4
HAMBI0117	117	180uL	E	EVO	ANC	8
HAMBI0129	129	180uL	E	EVO	ANC	12
HAMBI0141	141	180uL	E	EVO	ANC	16
HAMBI0153	153	180uL	E	EVO	ANC	20
HAMBI0165	165	180uL	E	EVO	ANC	24
HAMBI0177	177	180uL	E	EVO	ANC	28
HAMBI0345	345	180uL	E	EVO	ANC	32
HAMBI0357	357	180uL	E	EVO	ANC	36
HAMBI0369	369	180uL	E	EVO	ANC	40
HAMBI0381	381	180uL	E	EVO	ANC	44
HAMBI0465	465	180uL	E	EVO	ANC	48
HAMBI0513	513	180uL	E	EVO	ANC	52
HAMBI0525	525	180uL	E	EVO	ANC	56
HAMBI0597	597	180uL	E	EVO	ANC	60
HAMBI0661	661	180uL	A	EVO	EVO	0
HAMBI0106	106	180uL	A	EVO	EVO	4
HAMBI0118	118	180uL	A	EVO	EVO	8
HAMBI0130	130	180uL	A	EVO	EVO	12
HAMBI0142	142	180uL	A	EVO	EVO	16
HAMBI0154	154	180uL	A	EVO	EVO	20
HAMBI0166	166	180uL	A	EVO	EVO	24
HAMBI0178	178	180uL	A	EVO	EVO	28
HAMBI0730	730	180uL	A	EVO	EVO	32
HAMBI0742	742	180uL	A	EVO	EVO	36
HAMBI0754	754	180uL	A	EVO	EVO	40
HAMBI0766	766	180uL	A	EVO	EVO	44
HAMBI0466	466	180uL	A	EVO	EVO	48
HAMBI0514	514	180uL	A	EVO	EVO	52
HAMBI0526	526	180uL	A	EVO	EVO	56
HAMBI0598	598	180uL	A	EVO	EVO	60
HAMBI0662	662	180uL	C	EVO	EVO	0
HAMBI0107	107	180uL	C	EVO	EVO	4
HAMBI0119	119	180uL	C	EVO	EVO	8
HAMBI0131	131	180uL	C	EVO	EVO	12
HAMBI0143	143	180uL	C	EVO	EVO	16
HAMBI0155	155	180uL	C	EVO	EVO	20
HAMBI0167	167	180uL	C	EVO	EVO	24
HAMBI0179	179	180uL	C	EVO	EVO	28
HAMBI0347	347	180uL	C	EVO	EVO	32
HAMBI0359	359	180uL	C	EVO	EVO	36
HAMBI0371	371	180uL	C	EVO	EVO	40
HAMBI0383	383	180uL	C	EVO	EVO	44
HAMBI0467	467	180uL	C	EVO	EVO	48
HAMBI0515	515	180uL	C	EVO	EVO	52
HAMBI0527	527	180uL	C	EVO	EVO	56
HAMBI0599	599	180uL	C	EVO	EVO	60
HAMBI0663	663	180uL	E	EVO	EVO	0
HAMBI0108	108	180uL	E	EVO	EVO	4
HAMBI0120	120	180uL	E	EVO	EVO	8
HAMBI0132	132	180uL	E	EVO	EVO	12
HAMBI0144	144	180uL	E	EVO	EVO	16
HAMBI0673	673	180uL	E	EVO	EVO	20
HAMBI0709	709	180uL	E	EVO	EVO	24
HAMBI0348	348	180uL	E	EVO	EVO	32
HAMBI0360	360	180uL	E	EVO	EVO	36
HAMBI0372	372	180uL	E	EVO	EVO	40
HAMBI0384	384	180uL	E	EVO	EVO	44
HAMBI0468	468	180uL	E	EVO	EVO	48
HAMBI0516	516	180uL	E	EVO	EVO	52
HAMBI0528	528	180uL	E	EVO	EVO	56
HAMBI0600	600	180uL	E	EVO	EVO	60
HAMBI0661	661	180uL	A	EVO	no_predator	0
HAMBI0184	184	180uL	A	EVO	no_predator	12
HAMBI0190	190	180uL	A	EVO	no_predator	28
HAMBI0478	478	180uL	A	EVO	no_predator	44
HAMBI0634	634	180uL	A	EVO	no_predator	60
HAMBI0662	662	180uL	C	EVO	no_predator	0
HAMBI0185	185	180uL	C	EVO	no_predator	12
HAMBI0191	191	180uL	C	EVO	no_predator	28
HAMBI0479	479	180uL	C	EVO	no_predator	44
HAMBI0635	635	180uL	C	EVO	no_predator	60
HAMBI0663	663	180uL	E	EVO	no_predator	0
HAMBI0186	186	180uL	E	EVO	no_predator	12
HAMBI0721	721	180uL	E	EVO	no_predator	28
HAMBI0480	480	180uL	E	EVO	no_predator	44
HAMBI0636	636	180uL	E	EVO	no_predator	60
HAMBI0697	697	180uL	E	EVO 	EVO	28
HAMBI0559	559	18uL	A	ANC	ANC	0
HAMBI0001	1	18uL	A	ANC	ANC	4
HAMBI0013	13	18uL	A	ANC	ANC	8
HAMBI0025	25	18uL	A	ANC	ANC	12
HAMBI0613	613	18uL	A	ANC	ANC	16
HAMBI0049	49	18uL	A	ANC	ANC	20
HAMBI0061	61	18uL	A	ANC	ANC	24
HAMBI0073	73	18uL	A	ANC	ANC	28
HAMBI0687	687	18uL	A	ANC	ANC	32
HAMBI0724	724	18uL	A	ANC	ANC	36
HAMBI0677	677	18uL	A	ANC	ANC	40
HAMBI0760	760	18uL	A	ANC	ANC	44
HAMBI0445	445	18uL	A	ANC	ANC	48
HAMBI0481	481	18uL	A	ANC	ANC	52
HAMBI0493	493	18uL	A	ANC	ANC	56
HAMBI0577	577	18uL	A	ANC	ANC	60
HAMBI0559	559	18uL	C	ANC	ANC	0
HAMBI0614	614	18uL	C	ANC	ANC	4
HAMBI0014	14	18uL	C	ANC	ANC	8
HAMBI0026	26	18uL	C	ANC	ANC	12
HAMBI0038	38	18uL	C	ANC	ANC	16
HAMBI0626	626	18uL	C	ANC	ANC	20
HAMBI0638	638	18uL	C	ANC	ANC	24
HAMBI0074	74	18uL	C	ANC	ANC	28
HAMBI0723	723	18uL	C	ANC	ANC	32
HAMBI0712	712	18uL	C	ANC	ANC	36
HAMBI0736	736	18uL	C	ANC	ANC	40
HAMBI0689	689	18uL	C	ANC	ANC	44
HAMBI0446	446	18uL	C	ANC	ANC	48
HAMBI0482	482	18uL	C	ANC	ANC	52
HAMBI0494	494	18uL	C	ANC	ANC	56
HAMBI0578	578	18uL	C	ANC	ANC	60
HAMBI0559	559	18uL	E	ANC	ANC	0
HAMBI0615	615	18uL	E	ANC	ANC	4
HAMBI0015	15	18uL	E	ANC	ANC	8
HAMBI0027	27	18uL	E	ANC	ANC	12
HAMBI0039	39	18uL	E	ANC	ANC	16
HAMBI0051	51	18uL	E	ANC	ANC	20
HAMBI0063	63	18uL	E	ANC	ANC	24
HAMBI0627	627	18uL	E	ANC	ANC	28
HAMBI0291	291	18uL	E	ANC	ANC	32
HAMBI0303	303	18uL	E	ANC	ANC	36
HAMBI0315	315	18uL	E	ANC	ANC	40
HAMBI0327	327	18uL	E	ANC	ANC	44
HAMBI0447	447	18uL	E	ANC	ANC	48
HAMBI0483	483	18uL	E	ANC	ANC	52
HAMBI0495	495	18uL	E	ANC	ANC	56
HAMBI0579	579	18uL	E	ANC	ANC	60
HAMBI0559	559	18uL	A	ANC	EVO	0
HAMBI0616	616	18uL	A	ANC	EVO	4
HAMBI0016	16	18uL	A	ANC	EVO	8
HAMBI0628	628	18uL	A	ANC	EVO	12
HAMBI0640	640	18uL	A	ANC	EVO	16
HAMBI0652	652	18uL	A	ANC	EVO	20
HAMBI0664	664	18uL	A	ANC	EVO	24
HAMBI0076	76	18uL	A	ANC	EVO	28
HAMBI0292	292	18uL	A	ANC	EVO	32
HAMBI0304	304	18uL	A	ANC	EVO	36
HAMBI0316	316	18uL	A	ANC	EVO	40
HAMBI0328	328	18uL	A	ANC	EVO	44
HAMBI0448	448	18uL	A	ANC	EVO	48
HAMBI0484	484	18uL	A	ANC	EVO	52
HAMBI0496	496	18uL	A	ANC	EVO	56
HAMBI0580	580	18uL	A	ANC	EVO	60
HAMBI0559	559	18uL	C	ANC	EVO	0
HAMBI0617	617	18uL	C	ANC	EVO	4
HAMBI0629	629	18uL	C	ANC	EVO	8
HAMBI0641	641	18uL	C	ANC	EVO	12
HAMBI0653	653	18uL	C	ANC	EVO	16
HAMBI0665	665	18uL	C	ANC	EVO	20
HAMBI0065	65	18uL	C	ANC	EVO	24
HAMBI0077	77	18uL	C	ANC	EVO	28
HAMBI0293	293	18uL	C	ANC	EVO	32
HAMBI0305	305	18uL	C	ANC	EVO	36
HAMBI0317	317	18uL	C	ANC	EVO	40
HAMBI0329	329	18uL	C	ANC	EVO	44
HAMBI0449	449	18uL	C	ANC	EVO	48
HAMBI0485	485	18uL	C	ANC	EVO	52
HAMBI0497	497	18uL	C	ANC	EVO	56
HAMBI0581	581	18uL	C	ANC	EVO	60
