time_days	replicate	transfer_volume	prey_history	predator_history	cells_mL
8	B	1800uL	ANC	ANC	23009.20
8	C	1800uL	ANC	ANC	22066.20
8	D	1800uL	ANC	ANC	33759.40
8	E	1800uL	ANC	ANC	21123.20
8	F	1800uL	ANC	ANC	19991.60
12	A	1800uL	ANC	ANC	18105.60
12	B	1800uL	ANC	ANC	20746.00
12	C	1800uL	ANC	ANC	19048.60
12	D	1800uL	ANC	ANC	29987.40
12	E	1800uL	ANC	ANC	21311.80
12	F	1800uL	ANC	ANC	17539.80
16	A	1800uL	ANC	ANC	42246.40
16	B	1800uL	ANC	ANC	20180.20
16	C	1800uL	ANC	ANC	13767.80
16	D	1800uL	ANC	ANC	27912.80
16	E	1800uL	ANC	ANC	12447.60
16	F	1800uL	ANC	ANC	16785.40
20	A	1800uL	ANC	ANC	8675.60
20	B	1800uL	ANC	ANC	13767.80
20	C	1800uL	ANC	ANC	13956.40
20	D	1800uL	ANC	ANC	12070.40
20	E	1800uL	ANC	ANC	9995.80
20	F	1800uL	ANC	ANC	11881.80
24	A	1800uL	ANC	ANC	13767.80
24	B	1800uL	ANC	ANC	15653.80
24	C	1800uL	ANC	ANC	26026.80
24	D	1800uL	ANC	ANC	14710.80
24	E	1800uL	ANC	ANC	24895.20
24	F	1800uL	ANC	ANC	24140.80
28	A	1800uL	ANC	ANC	38097.20
28	B	1800uL	ANC	ANC	27912.80
28	C	1800uL	ANC	ANC	40360.40
28	D	1800uL	ANC	ANC	41303.40
28	E	1800uL	ANC	ANC	22254.80
28	F	1800uL	ANC	ANC	15088.00
32	A	1800uL	ANC	ANC	26215.40
32	B	1800uL	ANC	ANC	25083.80
32	C	1800uL	ANC	ANC	23197.80
32	D	1800uL	ANC	ANC	20934.60
32	E	1800uL	ANC	ANC	36211.20
32	F	1800uL	ANC	ANC	18671.40
36	A	1800uL	ANC	ANC	27158.40
36	B	1800uL	ANC	ANC	13390.60
36	C	1800uL	ANC	ANC	13013.40
36	D	1800uL	ANC	ANC	17917.00
36	E	1800uL	ANC	ANC	8109.80
36	F	1800uL	ANC	ANC	28478.60
40	A	1800uL	ANC	ANC	5469.40
40	B	1800uL	ANC	ANC	9618.60
40	C	1800uL	ANC	ANC	10184.40
40	D	1800uL	ANC	ANC	11504.60
40	E	1800uL	ANC	ANC	17728.40
40	F	1800uL	ANC	ANC	23009.20
44	A	1800uL	ANC	ANC	3017.60
44	B	1800uL	ANC	ANC	13013.40
44	C	1800uL	ANC	ANC	8675.60
44	D	1800uL	ANC	ANC	5658.00
44	E	1800uL	ANC	ANC	10561.60
44	F	1800uL	ANC	ANC	15088.00
48	A	1800uL	ANC	ANC	3960.60
48	B	1800uL	ANC	ANC	13579.20
48	C	1800uL	ANC	ANC	10938.80
48	D	1800uL	ANC	ANC	10561.60
48	E	1800uL	ANC	ANC	15465.20
48	F	1800uL	ANC	ANC	19803.00
52	A	1800uL	ANC	ANC	943.00
52	B	1800uL	ANC	ANC	5469.40
52	C	1800uL	ANC	ANC	4149.20
52	D	1800uL	ANC	ANC	5092.20
52	E	1800uL	ANC	ANC	3017.60
52	F	1800uL	ANC	ANC	17351.20
56	A	1800uL	ANC	ANC	9618.60
56	B	1800uL	ANC	ANC	11316.00
56	C	1800uL	ANC	ANC	27158.40
56	D	1800uL	ANC	ANC	17162.60
56	E	1800uL	ANC	ANC	9430.00
56	F	1800uL	ANC	ANC	17351.20
60	A	1800uL	ANC	ANC	12259.00
60	B	1800uL	ANC	ANC	8109.80
60	C	1800uL	ANC	ANC	18482.80
60	D	1800uL	ANC	ANC	14333.60
60	E	1800uL	ANC	ANC	16596.80
60	F	1800uL	ANC	ANC	9241.40
4	A	18uL	EVO	ANC	20934.60
4	B	18uL	EVO	ANC	23009.20
4	C	18uL	EVO	ANC	19991.60
4	D	18uL	EVO	ANC	23386.40
4	E	18uL	EVO	ANC	31496.20
4	F	18uL	EVO	ANC	29610.20
8	A	18uL	EVO	ANC	20557.40
8	B	18uL	EVO	ANC	16219.60
8	C	18uL	EVO	ANC	17351.20
8	D	18uL	EVO	ANC	18671.40
8	E	18uL	EVO	ANC	31307.60
8	F	18uL	EVO	ANC	14899.40
12	A	18uL	EVO	ANC	16596.80
12	B	18uL	EVO	ANC	13013.40
12	C	18uL	EVO	ANC	15465.20
12	D	18uL	EVO	ANC	18105.60
12	E	18uL	EVO	ANC	19237.20
12	F	18uL	EVO	ANC	14522.20
16	A	18uL	EVO	ANC	39606.00
16	B	18uL	EVO	ANC	18294.20
16	C	18uL	EVO	ANC	10561.60
16	D	18uL	EVO	ANC	9241.40
16	E	18uL	EVO	ANC	8487.00
16	F	18uL	EVO	ANC	11504.60
20	A	18uL	EVO	ANC	7355.40
20	B	18uL	EVO	ANC	8864.20
20	C	18uL	EVO	ANC	7732.60
20	D	18uL	EVO	ANC	10561.60
20	E	18uL	EVO	ANC	2451.80
20	F	18uL	EVO	ANC	12824.80
24	A	18uL	EVO	ANC	13390.60
24	B	18uL	EVO	ANC	22820.60
24	C	18uL	EVO	ANC	10750.20
24	D	18uL	EVO	ANC	16031.00
24	E	18uL	EVO	ANC	16408.20
24	F	18uL	EVO	ANC	12070.40
28	A	18uL	EVO	ANC	31684.8
28	B	18uL	EVO	ANC	28290
28	C	18uL	EVO	ANC	33570.8
28	D	18uL	EVO	ANC	23952.2
28	E	18uL	EVO	ANC	26592.6
28	F	18uL	EVO	ANC	18294.2
32	A	18uL	EVO	ANC	31307.60
32	B	18uL	EVO	ANC	19425.80
32	C	18uL	EVO	ANC	23009.20
32	D	18uL	EVO	ANC	28478.60
32	E	18uL	EVO	ANC	25272.40
32	F	18uL	EVO	ANC	18105.60
36	A	18uL	EVO	ANC	6412.40
36	B	18uL	EVO	ANC	9807.20
36	C	18uL	EVO	ANC	8864.20
36	D	18uL	EVO	ANC	8298.40
36	E	18uL	EVO	ANC	7732.60
36	F	18uL	EVO	ANC	15653.80
40	A	18uL	EVO	ANC	20746.00
40	B	18uL	EVO	ANC	11316.00
40	C	18uL	EVO	ANC	6978.20
40	D	18uL	EVO	ANC	9052.80
40	E	18uL	EVO	ANC	6601.00
40	F	18uL	EVO	ANC	10184.40
44	A	18uL	EVO	ANC	10184.40
44	B	18uL	EVO	ANC	11504.60
44	C	18uL	EVO	ANC	3583.40
44	D	18uL	EVO	ANC	8109.80
44	E	18uL	EVO	ANC	9807.20
44	F	18uL	EVO	ANC	3960.60
48	A	18uL	EVO	ANC	16974.00
48	B	18uL	EVO	ANC	15088.00
48	C	18uL	EVO	ANC	9995.80
48	D	18uL	EVO	ANC	9241.40
48	E	18uL	EVO	ANC	16031.00
48	F	18uL	EVO	ANC	6789.60
52	A	18uL	EVO	ANC	8675.60
52	B	18uL	EVO	ANC	8109.80
52	C	18uL	EVO	ANC	188.60
52	D	18uL	EVO	ANC	377.20
52	E	18uL	EVO	ANC	2451.80
52	F	18uL	EVO	ANC	7166.80
56	A	18uL	EVO	ANC	23009.20
56	B	18uL	EVO	ANC	6789.60
56	C	18uL	EVO	ANC	0.00
56	D	18uL	EVO	ANC	12824.80
56	E	18uL	EVO	ANC	11127.40
56	F	18uL	EVO	ANC	10561.60
60	A	18uL	EVO	ANC	9618.60
60	B	18uL	EVO	ANC	4715.00
60	C	18uL	EVO	ANC	188.60
60	D	18uL	EVO	ANC	10561.60
60	E	18uL	EVO	ANC	15465.20
60	F	18uL	EVO	ANC	7921.20
4	A	180uL	EVO	ANC	26404.00
4	B	180uL	EVO	ANC	26781.20
4	C	180uL	EVO	ANC	26592.60
4	D	180uL	EVO	ANC	34325.20
4	E	180uL	EVO	ANC	35079.60
4	F	180uL	EVO	ANC	42246.40
8	A	180uL	EVO	ANC	24706.60
8	B	180uL	EVO	ANC	18482.80
8	C	180uL	EVO	ANC	24329.40
8	D	180uL	EVO	ANC	19425.80
8	E	180uL	EVO	ANC	12447.60
8	F	180uL	EVO	ANC	12824.80
12	A	180uL	EVO	ANC	15842.40
12	B	180uL	EVO	ANC	15276.60
12	C	180uL	EVO	ANC	23575.00
12	D	180uL	EVO	ANC	19048.60
12	E	180uL	EVO	ANC	11316.00
12	F	180uL	EVO	ANC	11316.00
16	A	180uL	EVO	ANC	34325.20
16	B	180uL	EVO	ANC	14522.20
16	C	180uL	EVO	ANC	21311.80
16	D	180uL	EVO	ANC	10373.00
16	E	180uL	EVO	ANC	6412.40
16	F	180uL	EVO	ANC	11504.60
20	A	180uL	EVO	ANC	13579.20
20	B	180uL	EVO	ANC	7355.40
20	C	180uL	EVO	ANC	6789.60
20	D	180uL	EVO	ANC	7544.00
20	E	180uL	EVO	ANC	2263.20
20	F	180uL	EVO	ANC	16408.20
24	A	180uL	EVO	ANC	13579.20
24	B	180uL	EVO	ANC	16596.80
24	C	180uL	EVO	ANC	16219.60
24	D	180uL	EVO	ANC	11693.20
24	E	180uL	EVO	ANC	11693.20
24	F	180uL	EVO	ANC	16785.40
28	A	180uL	EVO	ANC	24895.20
28	B	180uL	EVO	ANC	22254.80
28	C	180uL	EVO	ANC	35834.00
28	D	180uL	EVO	ANC	29798.80
28	E	180uL	EVO	ANC	26969.80
28	F	180uL	EVO	ANC	17351.20
32	A	180uL	EVO	ANC	17728.40
32	B	180uL	EVO	ANC	14333.60
32	C	180uL	EVO	ANC	18105.60
32	D	180uL	EVO	ANC	11504.60
32	E	180uL	EVO	ANC	17539.80
32	F	180uL	EVO	ANC	18860.00
36	A	180uL	EVO	ANC	25838.20
36	B	180uL	EVO	ANC	15088.00
36	C	180uL	EVO	ANC	18105.60
36	D	180uL	EVO	ANC	7166.80
36	E	180uL	EVO	ANC	15465.20
36	F	180uL	EVO	ANC	15842.40
40	A	180uL	EVO	ANC	17917.00
40	B	180uL	EVO	ANC	12447.60
40	C	180uL	EVO	ANC	8298.40
40	D	180uL	EVO	ANC	8675.60
40	E	180uL	EVO	ANC	18860.00
40	F	180uL	EVO	ANC	9995.80
44	A	180uL	EVO	ANC	6601.00
44	B	180uL	EVO	ANC	11881.80
44	C	180uL	EVO	ANC	15653.80
44	D	180uL	EVO	ANC	16031.00
44	E	180uL	EVO	ANC	14333.60
44	F	180uL	EVO	ANC	17162.60
48	A	180uL	EVO	ANC	28667.20
48	B	180uL	EVO	ANC	24706.60
48	C	180uL	EVO	ANC	22820.60
48	D	180uL	EVO	ANC	17351.20
48	E	180uL	EVO	ANC	13013.40
48	F	180uL	EVO	ANC	18482.80
52	A	180uL	EVO	ANC	15465.20
52	B	180uL	EVO	ANC	13390.60
52	C	180uL	EVO	ANC	28290.00
52	D	180uL	EVO	ANC	19048.60
52	E	180uL	EVO	ANC	30553.20
52	F	180uL	EVO	ANC	14899.40
56	A	180uL	EVO	ANC	21123.20
56	B	180uL	EVO	ANC	21123.20
56	C	180uL	EVO	ANC	19425.80
56	D	180uL	EVO	ANC	12824.80
56	E	180uL	EVO	ANC	12070.40
