species	tetrahymena	bacteria_history	replicate	auc_log	gr	k_lin	OD_Min	OD_Max
HAMBI0097	no	evo	H	50.30335167825495	0.03881058201780673	0.10349197373854434	0.1	0.206
HAMBI0105	no	evo	A	101.06653103755704	0.1356518158574035	0.3089107477310899	0.099	0.409
HAMBI0105	no	evo	B	104.13475407034854	0.11464786874211724	0.33955499532425804	0.1	0.442
HAMBI0105	no	evo	C	110.39780497110728	0.11774291807652008	0.3765875296021935	0.1	0.478
HAMBI0105	no	evo	D	107.05826082874492	0.11735159984769516	0.34396127328556036	0.1	0.445
HAMBI0105	no	evo	E	107.65626937446928	0.1464628932127914	0.3481592928321229	0.1	0.449
HAMBI0105	no	evo	F	106.20682337710238	0.11584948040753582	0.34831464448654115	0.097	0.45
HAMBI0105	no	evo	G	103.55688049951848	0.11074743626032194	0.3348661447401558	0.099	0.439
HAMBI0105	no	evo	H	110.17453135567185	0.1176970562557756	0.3739073358156519	0.098	0.476
HAMBI0262	no	evo	A	23.773019639871983	0.03622161797974648	0.08760590877597055	0.098	0.187
HAMBI0262	no	evo	B	23.567800603997185	0.03871236323698587	0.08445806014228918	0.1	0.187
HAMBI0262	no	evo	C	23.09353689393981	0.03900177586476072	0.08607186795871077	0.098	0.18600000000000003
HAMBI0262	no	evo	D	25.637060550480822	0.03885638966829053	0.08662699815244428	0.098	0.18600000000000003
HAMBI0262	no	evo	E	22.025279861986395	0.03840421906337085	0.08704898171700556	0.098	0.188
HAMBI0262	no	evo	F	23.37354368367318	0.03462904304927382	0.0927116672707836	0.1	0.194
HAMBI0262	no	evo	G	29.902623286102443	0.04674251701529043	0.12256168184010076	0.098	0.223
HAMBI0262	no	evo	H	23.00644637099696	0.03679476780359862	0.08559136647380557	0.098	0.185
HAMBI0403	no	evo	A	126.05041310046856	0.27488705332411045	0.4010960344508342	0.097	0.501
HAMBI0403	no	evo	B	124.51709408462013	0.271596388631975	0.4003776274375179	0.098	0.503
HAMBI0403	no	evo	C	123.857784204013	0.2642235901511328	0.3971033546889584	0.097	0.503
HAMBI0403	no	evo	D	123.12590524741051	0.2595532636695195	0.3993071158420205	0.099	0.509
HAMBI0403	no	evo	E	123.00985164412246	0.2660201419986186	0.3921617074645723	0.098	0.493
HAMBI0403	no	evo	F	123.44671204646367	0.26653216003377106	0.3930017709863866	0.099	0.494
HAMBI0403	no	evo	G	124.2298085209225	0.2645175410567416	0.4026311917118795	0.099	0.509
HAMBI0403	no	evo	H	123.8880257487374	0.25353724605181865	0.3996024971257675	0.1	0.502
HAMBI1279	no	evo	A	110.1157787870072	0.20920512574341987	0.27490368433550766	0.099	0.379
HAMBI1279	no	evo	B	105.19790046768264	0.2070524098070463	0.2665753971524829	0.098	0.369
HAMBI1279	no	evo	C	104.59835625068204	0.20576580506286185	0.26582380262217703	0.099	0.369
HAMBI1279	no	evo	D	104.66923558825138	0.20231297441433232	0.2690382057284722	0.098	0.37200000000000005
HAMBI1279	no	evo	E	104.29622117996482	0.2041732864292024	0.27189984003239615	0.099	0.375
HAMBI1279	no	evo	F	106.410796729333	0.21335508979937903	0.2694201305039187	0.098	0.37200000000000005
HAMBI1279	no	evo	G	103.53570573559242	0.20762598228068552	0.27244006164222917	0.098	0.375
HAMBI1279	no	evo	H	103.56617342102116	0.2093768001177024	0.2736351006533995	0.099	0.377
HAMBI1287	no	evo	A	141.68652957223512	0.3027002525085293	0.4363559697171519	0.098	0.541
HAMBI1287	no	evo	B	135.72265136475764	0.30080243889915154	0.41568764185740426	0.1	0.52
HAMBI1287	no	evo	C	133.12069100470362	0.2990475679660754	0.4014844148101534	0.098	0.505
HAMBI1287	no	evo	D	135.31864253405567	0.29346646162260576	0.3965580647495521	0.099	0.498
HAMBI1287	no	evo	E	139.45998223272218	0.30127748680221805	0.4168431441781572	0.097	0.519
HAMBI1287	no	evo	F	137.59350583290572	0.30187765100171526	0.4123321569766324	0.098	0.515
HAMBI1287	no	evo	G	140.08695557855864	0.30477599426546026	0.416239522747644	0.098	0.519
HAMBI1287	no	evo	H	139.86943269908025	0.3061165748011926	0.4181348919453865	0.097	0.519
HAMBI1292	no	evo	A	95.32862706012946	0.08094206174731304	0.7120226147838199	0.097	0.813
HAMBI1292	no	evo	B	94.18482215541144	0.07743727767111908	0.739616203575083	0.098	0.84
HAMBI1292	no	evo	C	110.07796590683364	0.0787348577370696	0.7319870413576923	0.098	0.836
HAMBI1292	no	evo	D	99.89578921234671	0.09686828390380688	0.6876379858715254	0.099	0.7879999999999999
HAMBI1292	no	evo	E	83.80924408903536	0.10612434880965414	0.5678383935712916	0.098	0.675
HAMBI1292	no	evo	F	95.30199058053938	0.08815797587527927	0.6802014664895961	0.097	0.777
HAMBI1292	no	evo	G	100.56694243152644	0.08253798097249784	0.7220237018214393	0.098	0.82
HAMBI1292	no	evo	H	97.7340225942014	0.07502990516178348	0.6944730976416253	0.103	0.804
HAMBI1299	no	evo	A	97.76520122050724	0.29603966460744663	0.3941567136672326	0.098	0.499
HAMBI1299	no	evo	B	96.36839410413484	0.29905964497954995	0.373957349532573	0.098	0.48
HAMBI1299	no	evo	C	97.29822179873094	0.29813582746985934	0.3797032327147939	0.097	0.485
HAMBI1299	no	evo	D	99.35799027801777	0.3010661399247014	0.38048729626787825	0.097	0.488
HAMBI1299	no	evo	E	96.46463654605306	0.2944763785433521	0.3670881237403031	0.098	0.474
HAMBI1299	no	evo	F	97.24352813622797	0.29683950851837876	0.36115995189675154	0.099	0.473
HAMBI1299	no	evo	G	98.74952910782936	0.3019526221330696	0.3330511127659992	0.1	0.44
HAMBI1299	no	evo	H	96.91854675652029	0.30635826254862747	0.32801609657606823	0.098	0.43
HAMBI1842	no	evo	A	88.30376606227287	0.09706611269825204	0.5887565471674241	0.099	0.6920000000000001
HAMBI1842	no	evo	B	89.5967746368941	0.09650299574497805	0.5746893783279788	0.099	0.679
HAMBI1842	no	evo	C	95.36297027493612	0.08063556160051479	0.5826552122198381	0.099	0.706
HAMBI1842	no	evo	D	92.62801358836738	0.08587804563054195	0.5733470094319969	0.098	0.6759999999999999
HAMBI1842	no	evo	E	92.71210199889326	0.07502669781708647	0.6374741636925705	0.097	0.735
HAMBI1842	no	evo	F	96.97527824544342	0.08209216912949557	0.6812901017586463	0.098	0.782
HAMBI1842	no	evo	G	97.16395787143138	0.0943656358423435	0.5971946129416431	0.098	0.711
HAMBI1842	no	evo	H	91.03449322891431	0.09509217901833517	0.6681795073511028	0.101	0.775
HAMBI1896	no	evo	A	134.37770841196203	0.29674195078356613	0.3978296588586324	0.1	0.499
HAMBI1896	no	evo	B	132.4170043823978	0.2941677213671983	0.3934488731379944	0.099	0.494
HAMBI1896	no	evo	C	133.81007711555168	0.2928978648380579	0.3968483162010833	0.099	0.49700000000000005
HAMBI1896	no	evo	D	136.32131446532148	0.29951919680387445	0.4117343499120254	0.099	0.512
HAMBI1896	no	evo	E	134.28003671057897	0.29840167241030785	0.4050317030147462	0.099	0.507
HAMBI1896	no	evo	F	133.32992413439158	0.29280581003773526	0.4022847701851671	0.1	0.504
HAMBI1896	no	evo	G	139.1967922882585	0.3037774263707702	0.42554352192180495	0.098	0.526
HAMBI1896	no	evo	H	137.51687066630524	0.2974524660106763	0.42258253649615574	0.099	0.523
HAMBI1923	no	evo	A	50.46422143350373	0.0598716994670233	0.11608339045355344	0.101	0.21899999999999997
HAMBI1923	no	evo	B	51.48242374888443	0.06363206255687343	0.11809277040415496	0.098	0.21899999999999997
HAMBI1923	no	evo	C	46.25516129384469	0.05597417782908256	0.10094379501976344	0.098	0.202
HAMBI1923	no	evo	D	49.36700909707422	0.05849476873393575	0.10825996974916469	0.098	0.208
HAMBI1923	no	evo	E	51.3951358146834	0.06331749554969375	0.11678064161145696	0.098	0.217
HAMBI1923	no	evo	F	48.564048880092066	0.05839108362474155	0.10623058890307782	0.098	0.206
HAMBI1923	no	evo	G	46.94917314624295	0.05656934159932348	0.10410422250876064	0.098	0.205
HAMBI1923	no	evo	H	48.43448376657161	0.06051051580553425	0.10468205436458436	0.098	0.204
HAMBI1972	no	evo	A	103.94899885167372	0.4049104726864466	0.24876468748892944	0.093	0.345
HAMBI1972	no	evo	B	108.38742898812283	0.4157149391982533	0.25271519470237946	0.093	0.348
HAMBI1972	no	evo	C	108.33208417482278	0.44697402787235696	0.2533903012581408	0.095	0.35100000000000003
HAMBI1972	no	evo	D	110.52323257107966	0.4343575724559498	0.25443249387898104	0.093	0.348
HAMBI1972	no	evo	E	110.93691301123168	0.41487686019413395	0.25208753658505545	0.092	0.345
HAMBI1972	no	evo	F	111.27196123292956	0.4346146134904624	0.2582845199714434	0.092	0.353
HAMBI1972	no	evo	G	108.23467302593087	0.4272833665607705	0.25226350861658375	0.093	0.34700000000000003
HAMBI1972	no	evo	H	112.86219302748464	0.44310317226059376	0.25939791115370137	0.092	0.353
HAMBI1977	no	evo	A	161.82727219456595	0.30087096322993656	0.5576120197713144	0.091	0.654
HAMBI1977	no	evo	B	156.34895553184737	0.32290479484385626	0.5510059509331622	0.092	0.645
HAMBI1977	no	evo	C	155.10666752029906	0.305310222628886	0.5276957435871973	0.093	0.633
HAMBI1977	no	evo	D	151.35657947077232	0.3922708486680108	0.5374078961107562	0.094	0.636
HAMBI1977	no	evo	E	151.59332839174948	0.38835785914561505	0.545072697567685	0.094	0.645
HAMBI1977	no	evo	F	151.90674494072155	0.3836786104704763	0.5378552256262755	0.093	0.636
HAMBI1977	no	evo	G	152.99632095173993	0.3767010139642014	0.5481333500578659	0.094	0.644
HAMBI1977	no	evo	H	149.80956105592483	0.3708535519633561	0.5451247534421988	0.096	0.6409999999999999
