plate	well	incubation_length_hours	cloneOD	clone_plus_ciliateOD	prey	predator	replicate	ciliate_detected	experiment_day			OD difference	Defence
plate10	F08	48	0.071	0.054	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.017	0.983
plate10	F09	48	0.419	0.042	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.377	0.623
plate10	F10	48	0.27	0.259	Evolved Bacteria	Evolved Ciliates	1	FALSE	8			0.011	0.989
plate10	F11	48	0.322	0.04	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.282	0.718
plate10	F12	48	0.07	0.037	Evolved Bacteria	Evolved Ciliates	1	FALSE	8			0.033	0.967
plate10	G01	48	0.233	0.064	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.169	0.831
plate10	G02	48	0.253	0.044	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.209	0.791
plate10	G03	48	0.217	0.057	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.16	0.84
plate10	G04	48	0.224	0.246	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			-0.022	1.022
plate10	G05	48	0.421	0.126	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.295	0.705
plate10	G06	48	0.322	0.221	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.101	0.899
plate10	G07	48	0.249	0.045	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.204	0.796
plate10	G08	48	0.23	0.165	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			0.065	0.935
plate10	G09	48	0.224	0.126	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.098	0.902
plate10	G10	48	0.064	0.261	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			-0.197	1.197
plate10	G11	48	0.241	0.234	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			0.007	0.993
plate10	G12	48	0.04	0.092	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			-0.052	1.052
plate10	H01	48	0.241	0.083	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.158	0.842
plate10	H02	48	0.213	0.093	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.12	0.88
plate10	H03	48	0.227	0.154	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			0.073	0.927
plate10	H04	48	0.213	0.264	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			-0.051	1.051
plate10	H05	48	0.23	0.267	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			-0.037	1.037
plate10	H06	48	0.094	0.037	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.057	0.943
plate10	H07	48	0.223	0.081	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.142	0.858
