transfer_category transfer_volume_ul replicate prey_history predator_history time_days bacteria_od
hi 1800 E evo evo 16 0.221
hi 1800 E evo evo 20 0.263
hi 1800 E evo evo 24 0.242
hi 1800 E evo evo 28 0.256
hi 1800 E evo evo 32 0.277
hi 1800 E evo evo 36 0.273
hi 1800 E evo evo 40 0.266
hi 1800 E evo evo 44 0.292
hi 1800 E evo evo 48 0.273
hi 1800 E evo evo 52 0.231
hi 1800 E evo evo 56 0.254
hi 1800 E evo evo 60 0.231
hi 1800 E evo none 4 0.513
hi 1800 E evo none 8 0.487
hi 1800 E evo none 12 0.479
hi 1800 E evo none 16 0.502
hi 1800 E evo none 20 0.508
hi 1800 E evo none 24 0.527
hi 1800 E evo none 28 0.526
hi 1800 E evo none 32 0.524
hi 1800 E evo none 36 0.541
hi 1800 E evo none 40 0.549
hi 1800 E evo none 44 0.556
hi 1800 E evo none 48 0.553
hi 1800 E evo none 52 0.563
hi 1800 E evo none 56 0.581
hi 1800 E evo none 60 0.575
